comments,labels
Nah ini,0
nah ini,0
​@Tekotok     udah bg,0
Mantap tekotok❤❤,0
😂😂😂,0
Betul betul​@@vialyrehanrahady,0
Lu pas ngetik bini lu nodong pisau ya bang di belakang? 😂,0
😂​@@vibekata,0
Nahhh betul nihh,0
"@@vibekata eeengggaaak bbg...bbini gw baaik.... (sorry kl typo, tangan gw tremor bg)",0
"bjir karena cewek dari ujung rambut (creambath, etc) sampe ujung kuku (pedicure, etc) semuanya bisa dikomersilkan 😂",0
P,0
Bang masih hidup kan? Takutnya masih di sandra sama istri ente,0
nah itu paham.. makanya kasih bini duit ya bang.,0
"@@newerni1296 kl gw sih tergantung rezeki aja, pas ada pasti gw kasih, kl pas gak ada yaaa.... muter2 sampek ada trus bisa ngasih",0
Gua yakin bininya di samping nih 😅,0
​@@santoimam2876 hahahaha ..Tremor habis kena ancam ini mah 😂😅,0
Yang penring jangan mines aja udah 😂,0
Hahahaha 😅😅​@@riptoudin,0
Curiga istrinya yang ngetik.😅😅,0
"Anjirrlah <a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a>",0
"<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a><a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a>",0
"<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYsSlDa6M_9EPs5SKuAs""></a><a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a>",0
"Bahaya ni kalo konangan istri<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/h1jgYYzwCsr18gS77KOoCQ""></a>",0
&quot;Video ini disponsori oleh Kemenkeu RI &amp; Bank Indonesia&quot;,0
😂biar gdp nambah,0
ditambah KPK,0
🗿,0
Anjir pencitraan pemerintahkah😅,0
"Tapi konsep dia bener, kecuali tugas cewek ngabisin duit. Klo istriku mau kke tempat wisata, paginya buat bekal. Katanya buat penghematan.<br><br>Aku malah mikirnya, lah kapan jajannya.",0
Disponsori juga oleh partai yang ketua umumnya wanita,0
​@@TugimangantenkBanteng hitam,0
Wah ini namanya cari followers lagi nih,0
Ternyata begitu 😂,0
😂,0
"Sad. Tenang,, ini contoh minoritas kan? Masih banyakan bapak2 yang dapet bini2 yang ga ngabisin duit mereka kan ? Karna bini nya pada ingat sabda Nabi saw, lebih banyak perempuan di neraka karena tidak bersyukur atas kebaikan suami kan? Iya .... kan ? 😢",0
"yaa banyakk lh emng ga liat kbnykn istri di selingkuhin krna dibilang ga bisa rawat diri? pdahl mereka yg gabisa rawat diri ya krna duit pas pas an ngluarin duit buat makanan sehari hari dan brang rumah lohh tp laki laki malah msih enak beli rokok yg pdahl duitnya dalm sebulan dua bulan msih bisa beliin basic skincare buat istrinya, tp pada nutup mata klo msih banyak istri yg ngorbanin kebahgian dia yg sdikit itu demi suami dan kluarga.",0
bang masih idup?,0
Endingnya di luar nuril,0
"<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a><a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a>",0
"<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYsSlDa6M_9EPs5SKuAs""></a>",0
Endingnya.....wkwkwkwkk,0
coba tanyain bang ama bininya beli pestolnya dimana? bini gw minta juga,0
"Lah tumben siang2 bang<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYsSlDa6M_9EPs5SKuAs""></a>",0
Lahh bener😂,0
Waduhhh,0
"<a href=""https://www.youtube.com/watch?v=ywmgxFAk0lU&amp;t=30"">0:30</a> betull",0
😮😮😮😮,0
Lha ini contohnya,0
Wadohh,0
gih tonton videonya sampe habis Buk 😂🙏,0
❤,0
Iya lagi....😂😂😂,0
"Ke4 ni bang<a href=""UCFhzJ5UfoTlOxJT8xYoTuDw/QHveYuKkDa6M_9EPs5SKuAs""></a>",0
Ketiga..,0
Hadir,0
p,0
Frist,0
Dibikin sulit aja dulu ye kannn,0
"semua instansi kalo cara kerjanya ga begini kasian mereka bree, mereka mau pungli darimana coba? mau cepat ya 200ribu dulu breee <br><br>dikira main slot gratis? michat gratis? ngopi ditempat bagus gratis???",0
sama gasi bang artinya sama konten lu? ada vidio baru yang bisa nonton ful langsung tu yg bayar dlu,0
Gelisah gw denger si kuning,0
Mbuletttt kaya si ijazah palsu,0
Menggambarkan birokrasi di negeri indonesia,0
Ini mah bayar pajak rajin tapi fasilitas nol 😂😂🇮🇩,0
Bang ditunggu bapak attitude nol ya,0
Ampe gue percepat 2.0× saking pelan nya dia ngomong 😭,0
"maaf bang, dengan segala hormat dan tanpa mengurangi rasa hormat. mohon maaf ini episode paling ngeselin,, terasa banget keselnya gitu dilubuk hati paling dalam bisa merasakan gitu . 😂",0
Negara miskin paling ribet gede gengsi &amp; banyak gaya .... Siapa kita,0
Bisa bisa ya upload di jam 12 malam,0
POV Rocky Gerung jaga wc😅,0
Keburu pipis di celana wkwkkwk,0
video ini fix ditujukan buat gampar plat merah mana sih??? yang tau komen😢,0
Nyebelinnya dapet ya wkwkwk,0
Polisi tapi versi gibran,0
"harusnya selain vespa, ada motor honda win",0
"Orang udah bergaji masih ajja nyari set set set&#39;&#39;an macam orang kaga digaji gawene. <br><br>Gak habis pikir sih manusia kayak gitu mana nular lagi, bagi yang polos polos lempeng amat jadi aneh dimata mereka <br><br>Gak usah berharap nex generation pengganti mereka bakal lebih baik, pesimis ogut, karena dari kuliah aja udah ngeboongin bokapnya alasan buat uang kuliah padahal buat party atau ngopi ngopi syantik macam orang berduit unlimited. <br><br>Suram udah suram<br><br>Paling bener benahi diri sendiri <br>Benahi tanggung jawab kita <br>Benahi anak istri<br>Agar muncul generasi penerus yang gold dan beradab beriman takut kepada Allah.<br>Bukan cuma hafalan retorika tapi prakteknya Nol besar 😢",0
Saya bersaksi. Hal ini terjadi di SEMUA INSTASI PEMERINTAH INDONESIA. Dan belum berubah sampai detik ini.,0
"Sekalian bikin parodi ngurus Pajak kendaraan bang, yang di oper kesana kesini sampe ke Mesir, terus disuruh ke London, terus disuruh ke Zimbabwe, teruss aja dioper, padahal kita mah niatnya Baek cuma pengen bayar pajak seperti masyarakat yang taat, tapi selalluuuuu dipersulit 😂",0
Cara ngomongnya mirip rocky balboa,0
Wah ini nyinggung ormas per WC an iniiih 😂,0
Persis Birokrasi di Indonesia,0
Segalanya bisa diurus calo,0
terkutuklah para setan birokrasi di negeri kotok!! jadilah kerak neraka!!,0
Makin gede korup nya makin mirip cara ngomongnya ama si  abang penjg wc hahaha...top dah bg tekotok mah😂😅,0
"Gw pernah prnah prpnajang sim di cabang bukan di pusat, krna klo di pusat jauh. <br><br>setelah datang jam 8 pagi lewat karna cabang mulai operasi jam 8 pagi. Lalu saya nanya ke mbak mbaknya mau prpnjang sim orang nya bilang udh penuh kuota nya mas yg lain ini datang ambil antrian dari jam 7 belom ke panggil,. Klo mau mas nya datang lebih awal jam tngah 7 ambil nomor kuota. Agak sedikit kecewa udh magh ijin kerja mau prnjang sim malah gagal. <br>Tiba tiba ada petugas lain suruh ke bagian tukang poto copy di samping bilang ajah mau prpnjng sim. <br>Akhir nya saya ksana trus tukang poto kopi nya sama jawaban nya penuh kuota,.tpi klo mas nya mau cepet bisa saya urus saya bilang ywdh krna saya udh ijin kerja masa harus ijin lagi. Dia minta 150rb nanti saya ambil kertas nya di dlm mas nya isi. stlah ambil krtas lalu saya isi sbntr,  5mnit kmudia lngsung di panggil nama saya, trus mba mbak yg ketemu saya bingung lho mas nya yg tdi kan kok cepet udh sampe sini. Trus saya bilang iyah lewat jalur vip trus dia cengar cengir ajah.",0
"Ya itulah yang terjadi ketika kalian :<br>Lapor polisi<br>Buat KTP Dsb<br>Bayar pajak<br>Perijinan<br><br>Dan lain lain yap semua itu tentang birokrasi, memang SOP nya begitu &quot;harus mempersulit orang lain&quot; karna salah satu agama di sila ketuhanan yang maha esa bilang &quot;barang siapa mempersulit urusan orang lain maka urusan nya akan di persulit di akhirat kelak&quot; di akhirat loh ya, makanya mereka gak takut sebab para pejabat itu ABADI mereka gak kenal nama nya akhirat kan Pejabat itu Hidup Selamanya.😅",0
Mungkin ini sebenarnya juga nyindir perusahaan internet juga kali yang sering bileng&quot;iya maaf kita lagi berusaha semaksinal mungkin&quot; tapi malah ngak dikerjain😅,0
Prinsip hidup dimari tuh &quot;Siapa yang lebih butuh&quot;,0
Pipis di bali artinya UANG Bang.. 😂,0
Galfok suara motor vespa manuaL 🤣 persis gw kl lg bete suka bersuara vespa.. <br>Btw kok indo jd bnyk yg mata duitan dgn cara licik nyusahin orang ya segitu miskin n menghamba sm uang kah..?,0
Sebenernya gini simpel nya itu mas nya tinggal pulang kencing di kamar mandi sendiri aja udh selesai(tapi ini bukan soal kencing atau kamar mandi sendiri)😂😂,0
"Hidup di country ini apa apa serba bayar even untuk kepentingan semua . sesusah itu  hidup, matipun juga harus bayar. <br>beda ama country2 sebelah yang justru kepentingan org banyak malah di bagus2in dan FREE. <br>mau bikin usaha ga ada yang modalin, giliran udah jalan banyak yang berdatangan buat ....... isi sendiri. <br>bdhal dengan mempermudah usaha rakyat kecil, memperingan pajak, lapangan kerja juga semakin banyak.",0
"kirain mau bilang, airnya beda lagi harganya",0
kok gw kesel y wkwkwk,0
Semangat ngonten animasinya bre fans berat selalu hadir bre keren bagus mantap jos mantap bre 😂😅😅😅,0
Gambaran era sarkodok babi,0
o,0
awokwok penjaganya engeselin kek lgi ngobat,0
2026 Goodbye indog. welcome nihon,0
Bpjs kah,0
"Yang gw alamin dan tau setelah tau ceritanya dari sitempat kerja beginian ya kenapa selalu pungli - pelincin biar lancar<br>1. yang kerja service lansung sama rakyat/front office/resepsionis itu rata-rata magang/kontrak/honorer/staff lepas/junior (walau muka senior/kalah pangkat)<br>2. orang-orang itu duit/gajinya dari pusat itu ditilep/dipake dulu sama atasannya yang padahal mereka juga udah digaji<br>3. ada yang diajarin/ada yang ngajarin mereka buat pungli dengan alasan buat nambah2 biaya idup sehari-hari<br>4. klo dapat aduan sampe ada sidak dari pusat yang kena imbas ya mereka2 itu di nomor 1 yang cere-cere, yang kakapnya gak ditangkap dengan alasan mereka tuh ga nyuruh/intruksi/ga tau menau (padahal makan duitnya juga)",0
ini bukan tentang pipis di wc umum tapi,0
"bang bahas tentang netizen netizen yg no empathy . nonton perang di komen mampus2in bahkan ketawa2 (masing masing bela yg golongannya dan gw kira cuma netizen india yg kayak gitu konoha sama aja baik saudara seiman saya maupun golongan lain) mereka ga pikir itu sebiji nyawa manusia punya keluarga yg bersedih , menderita , bahkan mendendam. mereka ga pikir hal seperti itu juga bisa tyerjadi di kita. apalagi komennya nyinggung golongan lain, oknum2 ginian ini memecah belah. yg saya heran sekarang sekitar bulan ini kok rame konten kompare2 ama negara tetangga di beranda saya ,ampun komennya mereka kesana cuma buat menghina dan dihina( gitu aja muter2) hinaan dibalas dengan hinaan lahir hinaan baru dari orang yg baru pula. seolah olah mengadu domba, iya tau dari dulu juga gitu, tapi bulan ini gencar banget ga tau kenapa, kasih sadar mereka bang lewat animasimu, klo cuma kalimat formal kadang suara ga kedengeran karena dianggap boring. mudah2an mereka dan kami tidak mudah terpecah belah baik itu tetangga maupun satu negara",0
Balikin pulsa gwwwww,0
"Bang kalau boleh  request nih, buatin kaya konten tekotok tentang hubungan yang di stir temen dan kasih kaya kata kata motivasinya, sekarang lagi musim banget deh kaya si cewe/cowo ningalin pasangan bahkan yang udah lamaran sekalipun",0
Tekotok asuuuuuu,0
sayang kurang lengkap klo yg kelola WC umum ga mempekerjakan calo di gerbang masuk,0
Itu semua karena 1 perinsip dasar dari pemerintah yaitu &quot; Kalo bisa di persulit mengapa harus di permudah&quot;,0
"Pertanyaan gue lu kenapa mau, gue mau mending cari tempat lain keburu kencing batu duluan😢",0
"endingnya bisa di bikin agak ekstrim gasih...? kaya di gebukin atau di mutilasi gituhh,gemess bnget soalnya mas pengen nyolok itu bola mata",0
"anjiing bgt siii, emosiii gw bngsat",0
kok mirip kaya wakil yg planga plongo y🤣,0
ibarat lapor polisi kita udah bayar tapi hasil nol 😂,0
gw capek liat persyaratan masuk kerja harus bawa bawa fisik yang wajib good looking.,0
🚡🚡🚡🚡🚡🚡🚡,0
jadi inget waktu gw mau bikin imb.,0
Ini soal foto KARTU TANDA PIPIS itu bukan si..?,0
Mukanya minta di tabok,0
"Ah,,, jenis kabinet nya Kabinet Kotok, jenis birokrasi nya Birokrasi Pipis. Mantap negeri nya",0
Semoga ngurus ijin bangun jembatan yang viral itu dilancarkan ya... Semua orang yang punya &#39;hajat&#39; dan perlu ijin dari &#39;pusat&#39; semoga ngga dipersulit... Amin,0
Kaya ngurus surat2 dikonoha,0
Birokrasi keseluruhan ini tapi bukan di negara Indonesia kalau negara kita mah semuanya cepet ngurus apapun..ini cuman terjadi di negri antah berantah kotok doank😂😂😂😂😂,0
Klo bikin video reaction boleh gak bang admin? 🎉🎉 @tekotok,0
"Video hoax ini, gak mencerminkan birokrasi negeri kotok.<br><br><br>Mana scene dia disuruh datengin kantor2 plumbing negeri kotok sama perusahaan kuncinya? Gak ada adegan oper2an tanggung jawab kurang rame bang",0
kayak pengalaman saya ngurus stnk ganti plat nomer<br>disuruh bolak balik ke samsat hampir 2 bulan baru clear<br>alesannya jaringan error lah kertasnya abis lah tai kucing dll<br><br>ya kali sekelas samsat departemen nasional kalah sama angkringan jaringanya error kalah sama kang fotocopy kertas nya abis 😂😂😂,0
NGAKAK 😭😭😭,0
Tipikal pejabat konoha,0
Kaya muldongo cara ngomong nya😅😅😅......nyolotin,0
"Ak bru pindah kk dr jakarta ke kab bekasi.bner 2 gemes deh...waktu di jakarta bikin kk gratis,di sini bayar lewat rt setempat.ak bilang sama suami knapa g bikin sendri aj.ktanya percuma bikin sndri jg tetep bayar..",0
"Bapak saya pernah ngurus2 &quot;sesuatu&quot; di kantor pemerintah. Semua syarat sudah lengkap bahkan sampai debat dengan pegawainya. Dan tetep dibilang ada yg kurang. Nah, ga berapa lama ada pejabatnya lewat dan kenal tu sama bapak saya. Saling sapa dan si pejabat nanya ada urusan apa nih. Dijelaskanlah panjang lebar dan pejabat bilang ini sudah sesuai semua syaratnya. Dengan muka kecut si pegawai tadi bilang, &quot;ko ga bilang kl bpk kenal pak itu?&quot; Kl blg kan urusannya cepet selesai. Lah...😂😂😂",0
Suaranya bisaan bang suara yg model model nyebelin 😂,0
Ini mah pengalaman ku pas bikin KTP 😂,0
"Gmana mau siap, yang nyediakan air masih izin sakit dri 10 tahun lalu",0
teko tok,0
Bisa nahan pipis lebih dr 1 jam? Kalau nahan boker mah saya bisa…😂,0
kayak nyindir sebuah instansi tapi instansi apa yaaah? hmm....,0
Jir banyak iklan judi online gacor288 lah weton lah lebih mirip setan dajjal emang,0
ntah kenapa dari semua episode ini yang paling ngeselin,0
"gw kira ini ngomongin 1ndihome jir, tetep bayar padahal hobi maintenance, udah bayar tukang cuman di restart, abis di restart ga bisa, dia balik lagi ke rumah ga diapa&quot;in 😂",0
cara ngomong lu kaya anjir bre😅😅😅😅,0
Ini yg kasus mau bayar etle d persulit bukan c😂,0
Kapolri Semoga merasa tersindir,0
"Kalo ada wc pribadi yg bisa di bawa kek nya lebih enak dan simple, kalo pipis enak nyari mall atau alpamart",0
"di indonesia, mau ngasih duit aja ke pemerintah (bayar pajak kendaraan) aja susah bet. secara kendaraan punya kita sendiri yah, udah baek nih kita mau bayar pajak eeeh harus lewatin beberapa meja, antri ber jam2. Itu kalo kendaraan atas nama lo sendiri. kalo atas nama orang lain, kelar idup lo.... itu ngasih duit lhoooooo susah minta ampun, apalagi kalo minta duit ke pemerintah ya? kayaknya mimpi pun jangan deh.... 🤣🤣🤣",0
Ini mah kelakuan pelayanan milik negara daerah tangerang selatan wkwkwkwkwk,0
Ini buka cuma sekedar kencing yg bayar 2ribu😅,0
PNS banget ini mah wkwk,0
"Pernah kayak gini dulu pas perpanjang pajak kendaraan bermotor 5 tahunan di samsat tahun 2013 antri lama jam 7 pagi dateng dan keluar jm ½ 2 siang baru kelar itupun masih ribet alasan plat nomor belum ada materialnya juga stnk belum dicetak suruh nunggu sekalian sama plat nomornya dan disuruh bolak balik ke Samsat 1 bulan sekali buat ngecek plat nomor sekalian cetak STNK, udah 3 kali kesana akhir selang 1 tahun baru jadi. <br><br>Percayalah dulu mending ngasih calo 200k sehari bakalan jadi,kalau sekarang diurus sendiri 2 jam selesai beserta plat nomornya tapi BPKB nginep disana 1 minggu.",0
Bang coba bikin vidio pake lagu Melanie martinez,0
sumpahhh ngeseeliinnnn bangetttttt,0
gamparan polisi konohi,0
Intinya bayar dulu😂😂😅,0
"Tai lie ah ,gw udah kebelet",0
Lebih seru baca komenan netizen di video ini dbanding isi videonya wkwk😂,0
Sebel gua nonton.. ini sih konoha ory,0
"ohhh, betapa indahnya warna-warni di negeri kotok!!!",0
sebenarnya yang perlu mendapat didikan dibarak militer itu para ASN deh.<br>terutama pembinaan mental kejujuran dan MELAYANI,0
"Sudah lihat apa yg salah, yup. Ini sindiran ke Birokrasi. Jangan Harap &quot;Indonesia Emas&quot;, jika Indonesia belum jadi &quot;Indonesia Anti Korupsi&quot;.<br>China dulu juga negara Korupsi, namun semua berubah ketika Presiden nya membuat kebijakan tegas &quot;Anti Korupsi&quot;. Pernyataan yg sangat luar biasa adalah <br>&quot;Sediakan 100 peti mati, 99 untuk koruptor dan satu untuk saya jika saya korupsi&quot;.",0
"Tapi kurang efektif di China walaupun dihukum mati setelah beberapa tahun tingkat korupsinya masih sama harusnya sih yg paling bener perampasan aset total, org korupsi itu GK takut mati org dia korupsi juga tau resikonya tkt nya klo korupsi itu uang nya di sedot abis trs di hukum di kucilkan masyarakat SE keluarga baru itu takut",0
Di indo 100 peti kurang gak sih?,0
Kurang banyak ​@@anampejabat,0
Jangan bilang ini parodi kasus ngurus tilang online gak tuntas&quot;😂,0
Habis ngelem ya bang😂,0
Gua demen nih yg nyinggung nyinggung gini.. emang mesti di kata katain oknum pemerintah,0
Capeknyaaa aku 😂,0
"Seperti hukum di wakanda ,,,semua pada lelet ,,",0
Negeri kotok mewakili negeri konoha kita tercinta dimana BIROCRAZY. 😂,0
"ini kartun apaansih, relate amat😂",0
"Sedih banget di daerahku apa apa mesti ada ordal😢 mau kerja di pabrik aja mesti pake  ordal, mau daftar pelatihan gratis harus ada ordal, mau kerja ini itu pake ordal😔🥺, kenapaa si🥺 info loker😔",0
"Endingnya mengecewakan, mana sendal terbangnya?",0
"Greget bgt, pgn nampol penjaga toilet ny 😂",0
Kebiasaan ya bre 😂,0
"Kata Slank, itu Birokrasi Komplex.",0
Birokrasi &amp;#*@*!(#&amp;@*!(!((&amp;#*(,0
Hmmm...,0
ini kejadian di saya saat  ambil motor  bekas celaka di polantas <br>😐,0
kuncinya ketemu ga bre ?,0
kencingin ae dah mukanya,0
Ekspresi dan suaranya ngeselin bngt yg jaga toilet😂,0
Kementerian kntl,0
tampol aja tampol,0
oalah ngesarkas yg ngajak makan malam 500k itu ya😂,0
Kek ngomong sama polisi aja mlenca mlence gak niat kerja 😂,0
"Pengalaman ortu mau jual rumah di negeri kotok, dikasih tau &quot;penjaga toilet&quot; utk PBB bulan/tahun sekian (total ada 3) belum dibayar padahal udah. Datanglah ibu saya ke &quot;kantor&quot; bawa bukti bayarnya. Kata petugasnya, &quot;balik sebulan lagi ya bu, dicek dulu&quot;. Gu*bl*k. Ngecek kaya gitu doang sebulan. Kalo niat, 15 menit jg kelar.<br><br>Kemudian dikasih lah &quot;uang rokok&quot;, langsung kelar hari itu 🙈🐒 K*nt*l. Buat apa patuh bayar PBB kalo masih dimintain duit jg.",0
"Bikin ktp aja kudu nunggu sebulan, itu bikin ktp apa bangun rumah",0
"Bikin KTP ini mah😅 disuruh bayar udah bayar banyak alasan, ini itu bla bla ujung-ujungnya harus bayar lagi bayar lagi wkwkwk",0
Sangat real life dgn kehidupan di negeri kotok tercinta🤣,0
"Ngurus KTP, SIM dan birokrasi lainnya",0
ANJ,0
Aduh tau lagi nyindir institusi yg mana 😂😅,0
Anjj inii kesell banget dengerr suaraa yg lamma😂,0
Berarti pejabat di negeri ini otak nya dibawah tukang jaga WC karena ngurus birokrasi aja kalah sama tukang jaga WC,0
Berbelit belit no to the point aje lah hhhuu,0
"ini bener, dulu mau bikin dokumen D butuh dokumen ABC, dokumen A butuh 30 hari kerja secara TEORI klo normal 60 hari kerja. nah C butuh B butuh dokumen A, yah 3 tahun ga kelar2 keburu ganti pejabat wkakakka",0
waduh,0
"Ini sama kayak ,,&quot;Internet cepat buat apaaa ? &quot; 😂😂",0
Bahas tentang kadin banten yg minta 5T banf,0
Ntpn ini jd inget pas mau bikin ktp eeeeeeeh,0
Aaaaaaaaaaaaaaa..😮,0
Gambaran apa breee??? Yaps bener polisi negri kotok😅,0
Mirip kasus ijazah...diperlamaaaa,0
"Klo ga inget akhirat, pastinya udah kesel banget. Tp Alhamdulillah inget akhirat trmpat yg bener2 adil dan fair, kesabaran kita dunia akan dibalas pahala, kita dizholimi di dunia akan dibalas pahala. Dan pelaku korupsi dan zholim jg akan dibalas dosa.",0
"Dulu waktu baru lulus sekolah ngurus skck di polsek terdekat (btw aku tinggal di jawa tengah bagian pelosok) , tapi di situ di tolaak dengan alasan harus bikin di polres soalnya aku mau kerja beda profinsi yaitu di jogja. jarak tempuh ke polres 1,5jam perjalanan. Satu minggu kemudian di hari jumat, datanglah aku ke polres., ternyata aku sudah kesiangan karena memang jumat setengah hari pelayanan. Tapi aku tetep di layani untuk interview sama petugas. Di tanyalah kenapa bikin skck harus jauh2 ke polres. Aku aduin lah semuanya, petugas langsung geleng2 kepala😅 . Lalu aku di arahin buat balik hari senin karena hari itu pendaftaran tutup sebelum jam 12,tidak lupa perugas kasih aku formulir buat di isi di rumah untuk mempernudah pembuatan skck di hari senin,. Tapi karena capek ngurus skck aku langsung aja berangkat ke jogja,modal nekat. Tapi baru sampi jogja 2hari dapet tlfon dari polsek, katanya skck aku sudah jadi tanpa formulir tanpa persyaratan🤣 gila ga tuh, katanya ga bisa tapi setelah aku aduin semua di polres mendadak bisa dengan biaya 10rb atau 20rb gitu sedikit lupa.",0
baru aja kemaren aku bikin skck di polsek bayar 30rb,0
Kak aku bayar 400 RB 😂,0
​@pngglajmir_3602bikin SKCK kan emang bayar 30k,0
"Sekedar berbagi cerita, bahwa masih ada daerah yang bagus sistemnya.<br>15 tahun lalu buat sksck, tidak dipungut biaya yang aneh aneh, 5 tahun lalu juga buat skck untuk daftar gojek juga aman.<br>Tahun ini perpanjang sim juga mudah, ada yang pakai mobil keliling ada yang kekantornya. Terpaksa ke kantor karena masih libur mobil kelilingnya jadi ke kantor. Ruangan  tunggu nya juga bagus. Memang antri banget karena habis libur panjang. Urus balik nama bpkb juga..uruskan punya orang lain juga, asal lengkap berkas yang menjadi persyaratannya. <br>Kalo bilang saya nda peka misalnya, pak polisi yang bekerja tidak ada komunikasi verbal lain,  hanya ngasih petunjuk saja yang penting penting, dan fokus bekerja.<br><br>Waktu yang bikin sim di mobil keliling, pak polisinya malah minta maaf ke kami kami yang  lagi duduk² ngantri, karena gensetnya sempat agak lama.",0
"aku dulu juga gapernah sekali jadi kalo buat, harus bolak balik ada aja yg kurang &quot;katanya&quot;. Persayaratan banyak dan bayar tp gapek embel² pelicin bilangnya, blak²an bilang biaya pengurusan SKCK tp lupa nominalnya berapa",0
@@SamnuahM-dh2ic apaa??? 400rb untuk sebuah skck???,0
"Katanya kalau SKCK buat ke luar negeri emang mahal, tapi ya ga tahu sih ya adekku pas mau ke jepang malah 800 ribu. Aku juga pas mau ke Taiwan 400 ribu. 😂​@@PalupiNova_8",0
​@@SamnuahM-dh2icente typo 40rb atau ngarang 400rb.. Ko tolol sih 400rb cmn buat skck,0
Di sini bikin SKCK harus bayar 35k,0
Klau sbener²nya ya&#39; ..<br>Bkin skck tu gratis.<br><br>Dtempat gua sih gtu ..,0
Aku pernah bayar 15 ribu jaman kapan ya lupa. Sebelum tahun 2020 pokoknya.,0
"Lah bayar? Di lombok tengah, NTB. Aku gratis bank. Samsek ga dibpersulit. 10 menit jd",0
@@LaskarMuhajirin tergantung tempat sepertinya😁,0
@@watch-k2n harusnya emang gratis si😅,0
"Wkkw makanya kenapa harus dipersulit harus di polres si, aku kemaren bikin skck pake apk polri biar nanti tinggal ambil dan bayar trf ke apk tsb bayar 30k. Pengurusan offline pun sama bayar 30k",0
"@HuiJt  sekarang enak bisa online, dulu mah mana ada online. Punya hp android aja udah mewah banget",0
halo,0
ini bukan tentang pipis...,0
Bang lagi cosplay pejabat yang mana??,0
"Di indo emang dari atasnya bobrok, makin ke bawah makin jadi racun . Sok2an program digitalisasi tp yg pegang wewenang tertinggi gak mudeng dunia digital. Asal lulusan &quot;komputer&quot; dikira bisa segala macem,padahal gak juga kan ya.. pingin bawahan serba bisa tp ga mau keluar duit gaji orang yg bener2 spesialis di bidanghnya. Lingkaran birokrasi SETAN 😠",0
Imbasnya yg kerjanya bagian operator / administrasi sering kena komplein dr user/ customer &quot;lamaaa&quot; . Padahal emang sistem dr atas yg udah error . True story ya. Apalagi di instansi2 yg berhubungan dg pemerintah 😂😂,0
Bukti betapa bobroknya birokrasi di Indonesia. Di bikin ribet sama suka main lempar sana lempar sini,0
Pindah ke vietnam aj pipisnya lancar 😂😂😂,0
Gampar nih ya 😂😂😂😂,0
"<a href=""https://www.youtube.com/watch?v=mrI5grqGvPA&amp;t=79"">1:19</a> mirip jokow1 kalo ngomong lemot",0
Tapi kerjanya sat set kan ? Kebalikan Anies ngomong lancar kerja ngak ngok.,0
dari pada ngomong cepet tapi penyebar hoaks wkwk,0
Satset utang wkwk​@@julianis1710,0
​@@julianis1710sat set? 😂 KDM kali jokowi mah omon-omon,0
KLO sat set kerjaany ps di tany ijazah gk muter2 jawabnya,0
​@@Topfotbal90Biar dikasih paham dulu utk si penyebar hoaks.,0
"​@@julianis1710sat set apaan, contohin",0
"Pala bapak kau botak ketiban oli bekas, apa hubungan nya kocak",0
Gila ye masih banyak aja ya yang ngefans dan tergila gila ama joko jir 😂😂😂,0
​@@julianis1710apanya yang sat set ? 😅,0
​@@Topfotbal90yg menuduh harus membuktikan 😂,0
"kebanyakan disini pengikut Abah aniess awoakwok ,ternyata masih banyak yg iri dengki",0
@@julianis1710 sat set ancur 🤣😂,0
"​@@VinsOnlyemang apa yang harus kita iri dari jokowi? Bahasa Inggrisnya jelek, kebijakan ekonominya gagal, hutang nambah besar, korupsi meningkat, infrastruktur yang gagal menumpang pertumbuhan ekonomi, rupiah melemah, dll. Sumpah lu ngatain kita iri iri, jujur ya kita g iri sama presiden modelan kayak gitu",0
​@@julianis1710bukti?? dibayar brp bg jadi buyer wkwk,0
"presiden ngomong lancar, bawahan kerja sat set",0
​@@Yuki_Mwajar bro..iq nya kan lebih rendah timbang simpanse,0
Sat setnya dimana ya... ​@@julianis1710,0
​@@Topfotbal90dia ga ada ijasah aja  bisa mimpi negara apa lagi ada ijasah 😂,0
BIROKRASI TAI 4N7ING,0
ga pernah se kesel ini anjir ngeselin bngt rasanya 😭😭,0
Tekotok sekarang kok ga bisa layar 2 yak?,0
